,H_name,A_name,H_GoalsScored,A_GoalsScored,H_GoalsConceded,A_GoalsConceded,H_Points,A_Points,H_Results1,H_Results2,H_Results3,A_Results1,A_Results2,A_Results3,H_Shots1,H_Shots2,A_Shots1,A_Shots2,H_ShotsTarget1,H_ShotsTarget2,A_ShotsTarget1,A_ShotsTarget2,H_Red1,A_Red1,H_Corners1,H_Corners2,A_Corners1,A_Corners2,H_LastPosition,A_LastPosition,MatchDay,Result
1502,Everton,Newcastle,43,46,36,54,61,43,W,L,D,W,D,D,8,11,4,16,6,4,3,9,0,0,3,7,2,5,17,6,37,H
4352,Southampton,Sunderland,22,18,33,24,15,16,L,W,L,L,W,L,13,18,13,16,7,9,10,11,0,0,8,7,9,6,19,14,18,A
2018,Reading,Tottenham,10,8,17,11,13,15,L,L,L,W,D,W,5,8,8,11,2,4,3,8,0,0,6,13,7,7,19,5,12,H
3299,Aston Villa,Burnley,32,25,19,50,42,23,D,D,W,L,W,L,10,10,10,8,6,5,3,4,0,0,1,4,2,3,6,19,26,H
1736,Everton,Arsenal,14,34,31,15,23,37,W,W,L,W,D,D,13,9,24,8,6,5,17,5,0,0,5,5,4,6,4,2,22,H
5250,Burnley,Arsenal,26,62,49,32,26,63,D,L,W,W,W,W,15,15,16,7,4,3,10,3,0,0,5,5,6,4,19,4,32,A
6704,Crystal Palace,Fulham,24,25,33,53,23,17,D,L,L,W,L,L,15,9,24,12,3,3,7,4,1,0,8,3,10,7,10,19,25,H
1303,Norwich,Bolton,14,24,26,22,12,23,L,D,W,L,L,D,10,7,10,19,4,3,6,10,0,0,5,1,4,7,19,7,17,H
1474,Tottenham,West Brom,41,32,37,53,47,29,D,W,D,D,D,W,9,19,10,7,6,6,4,5,0,0,3,4,3,5,13,19,34,D
3073,Aston Villa,Fulham,5,1,3,4,6,3,W,W,L,L,L,W,9,7,6,4,4,4,3,1,0,0,9,4,4,4,6,7,4,H
5140,Burnley,QPR,17,22,32,35,17,19,D,D,L,D,D,L,15,12,24,11,4,3,6,3,0,0,5,3,4,9,19,19,21,H
1981,Chelsea,Portsmouth,13,12,4,3,19,16,W,D,W,W,L,L,7,18,18,9,4,10,6,6,1,0,5,7,4,10,1,17,9,H
3677,Blackpool,Aston Villa,38,28,49,43,28,28,L,L,L,L,W,W,11,13,9,11,7,8,5,10,0,0,5,10,5,4,19,6,26,D
5423,Newcastle,Stoke,12,9,22,12,6,12,L,W,L,L,W,W,21,11,12,9,8,6,1,2,1,0,10,3,11,2,15,9,11,D
1724,Arsenal,Middlesbrough,27,25,15,30,34,22,D,D,W,D,D,L,8,10,8,12,5,3,3,4,0,0,6,1,2,4,2,7,21,H
924,Fulham,Chelsea,28,30,22,12,25,36,L,W,D,L,D,W,10,10,9,19,7,3,5,10,0,0,5,3,8,8,13,4,17,A
4273,Swansea,Chelsea,14,21,13,9,11,22,L,W,D,L,W,W,9,18,14,11,5,11,11,7,0,2,0,9,8,4,11,6,10,D
6609,Wolves,Chelsea,13,30,17,11,16,31,L,L,D,W,L,D,15,12,16,13,4,3,9,2,0,0,6,3,4,4,19,5,15,H
4869,Southampton,Newcastle,43,38,37,40,45,46,W,W,L,W,L,W,16,11,21,12,6,3,8,3,0,0,6,3,9,7,15,16,31,H
1540,Birmingham,Middlesbrough,1,0,2,2,1,1,L,D,M,L,D,M,9,7,12,4,2,4,3,2,0,0,9,6,6,5,12,7,3,A
4795,Stoke,Man United,22,38,37,27,22,40,L,L,L,W,L,W,14,17,17,10,5,2,5,4,1,0,3,3,5,4,13,1,24,H
3720,Everton,Aston Villa,40,37,39,51,40,33,W,D,W,L,L,W,16,17,11,10,12,11,5,6,0,0,7,9,8,5,8,6,31,D
682,Man United,Fulham,48,35,27,37,61,38,W,W,D,D,W,D,13,15,3,11,5,2,3,4,0,0,6,8,3,8,3,13,31,H
6013,Crystal Palace,Leicester,42,39,50,51,34,36,W,L,W,L,W,W,17,17,6,19,6,3,4,8,0,0,5,11,6,5,15,1,32,D
3363,Sunderland,Tottenham,41,58,50,32,35,58,L,D,W,L,W,W,7,10,12,16,2,5,9,8,0,0,2,7,6,11,16,8,33,H
2686,Aston Villa,Liverpool,6,3,5,1,3,6,L,W,M,W,W,M,5,14,16,14,2,10,8,8,0,0,8,7,14,8,6,4,3,D
