,H_name,A_name,H_GoalsScored,A_GoalsScored,H_GoalsConceded,A_GoalsConceded,H_Points,A_Points,H_Results1,H_Results2,H_Results3,A_Results1,A_Results2,A_Results3,H_Shots1,H_Shots2,A_Shots1,A_Shots2,H_ShotsTarget1,H_ShotsTarget2,A_ShotsTarget1,A_ShotsTarget2,H_Red1,A_Red1,H_Corners1,H_Corners2,A_Corners1,A_Corners2,H_LastPosition,A_LastPosition,MatchDay,Result
788,Aston Villa,Leicester,1,3,2,4,1,1,D,L,M,L,D,M,14,9,5,12,9,5,1,7,0,2,8,9,2,2,16,19,3,H
2101,Charlton,Aston Villa,15,22,35,23,13,25,D,L,L,L,L,L,12,8,9,11,7,6,7,3,0,0,4,4,4,6,13,16,21,H
3648,Wolves,Liverpool,24,27,38,31,21,26,L,W,L,D,L,L,10,3,19,10,7,2,14,6,0,0,8,4,10,3,15,7,23,A
4616,Tottenham,Chelsea,5,6,1,2,12,10,W,W,L,W,L,D,29,23,26,22,12,7,10,5,0,0,12,8,13,7,5,3,6,D
3434,West Brom,Sunderland,0,2,6,2,0,1,L,M,M,D,M,M,10,0,6,0,4,0,2,0,0,1,1,0,3,0,19,13,2,H
6067,Man City,West Brom,72,41,38,46,72,45,W,W,D,L,D,L,17,26,7,11,5,12,2,3,0,0,9,9,5,8,5,14,37,H
666,Aston Villa,Birmingham,31,25,32,41,35,29,L,L,W,W,L,L,13,8,5,7,6,5,2,6,0,0,6,5,2,7,8,19,29,A
227,Charlton,Aston Villa,28,29,28,27,29,32,L,W,W,W,D,D,9,13,9,8,6,8,5,4,1,0,2,11,4,0,9,8,23,A
6632,Bournemouth,Brighton,25,20,28,24,23,21,L,L,W,L,L,W,13,8,6,14,3,2,2,1,0,0,3,6,4,7,11,15,18,H
704,Liverpool,Fulham,47,35,35,44,52,38,L,W,W,L,L,D,5,19,9,11,1,11,4,6,1,0,4,4,3,5,2,13,33,H
4994,Liverpool,Everton,7,11,8,13,6,5,L,L,W,L,W,L,11,18,17,11,5,1,6,4,0,0,5,7,7,1,2,5,6,D
3330,Liverpool,Portsmouth,45,25,29,51,48,19,L,W,D,L,L,W,11,12,7,11,3,6,3,8,0,0,7,4,4,5,2,15,30,H
2482,Man United,Birmingham,37,22,11,31,45,19,L,W,W,D,W,L,7,17,15,13,3,11,6,5,0,0,3,3,8,12,1,19,21,H
2790,Chelsea,Newcastle,32,17,4,22,32,13,W,W,W,D,L,W,15,18,17,13,9,13,9,7,0,0,10,9,4,1,2,12,14,D
2136,Arsenal,Man United,43,52,19,16,42,57,W,W,L,W,D,W,6,16,27,20,4,10,17,8,1,0,2,8,8,10,4,2,24,H
660,Fulham,Sunderland,32,19,35,45,34,19,D,W,W,L,L,L,8,12,7,8,7,8,4,6,1,0,7,2,4,8,13,17,29,H
6078,Swansea,West Brom,43,42,69,49,38,45,W,W,D,L,L,D,3,9,5,7,3,4,2,2,0,0,4,9,1,5,12,14,38,H
2142,West Ham,Liverpool,17,37,38,16,20,46,D,D,L,W,W,W,12,10,17,22,7,7,8,13,0,0,2,8,3,12,9,3,25,A
3790,Aston Villa,Liverpool,47,59,59,43,45,58,W,D,L,L,W,W,8,10,10,16,5,7,2,11,0,0,2,2,11,5,6,7,38,H
2282,Derby,Portsmouth,0,0,0,0,0,0,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9,1,D
2632,Man City,Fulham,42,32,41,58,55,27,W,W,L,L,W,L,16,7,10,16,10,5,6,8,0,0,6,2,3,7,14,16,36,A
1594,Man City,Everton,7,1,6,9,11,3,L,L,D,L,L,L,8,17,5,14,4,8,4,7,0,0,6,7,2,11,8,4,8,H
1697,Arsenal,Portsmouth,23,13,15,26,29,13,W,L,L,W,L,L,18,7,5,8,11,5,4,5,0,0,10,5,6,3,2,16,18,H
3668,Stoke,Sunderland,28,28,30,24,30,37,L,L,W,W,D,W,6,9,11,10,1,1,6,7,0,0,0,2,4,4,11,13,25,H
1859,Charlton,Portsmouth,37,30,42,55,44,29,D,D,W,D,D,W,9,8,10,22,4,2,4,12,0,0,6,8,3,7,11,16,34,H
3756,Blackburn,Man City,40,51,54,30,35,59,L,D,D,W,L,W,4,15,10,13,2,5,5,4,0,0,1,8,6,2,9,5,34,A
4788,Sunderland,Stoke,21,22,36,36,18,22,D,W,L,L,L,D,10,10,17,13,5,6,2,4,0,0,4,6,3,11,17,13,23,H
523,Man United,Newcastle,18,23,13,22,23,22,D,L,W,L,W,L,11,9,10,18,4,6,7,13,0,0,6,9,1,6,3,4,15,H
3583,Stoke,Blackpool,21,24,21,29,21,22,D,D,W,W,D,W,11,16,10,16,7,9,5,10,0,0,4,6,4,4,11,19,17,A
6410,Tottenham,Man City,65,93,30,25,67,87,L,W,W,W,L,W,8,15,17,20,3,4,6,6,0,0,5,3,7,8,2,3,34,A
5494,Man City,Sunderland,33,18,19,33,32,12,L,W,L,L,L,L,20,13,11,14,6,5,3,2,0,0,8,5,2,8,2,17,18,H
3235,Portsmouth,Arsenal,17,51,28,21,14,41,L,W,L,W,W,W,11,14,14,19,7,6,10,12,0,0,4,8,10,10,15,4,20,A
1561,Newcastle,Fulham,0,3,6,6,1,4,L,L,D,W,L,L,9,7,9,8,4,4,4,3,0,0,5,3,6,7,14,13,5,D
1238,Southampton,Birmingham,6,7,12,9,5,8,L,D,L,D,D,D,8,16,14,10,4,11,6,6,0,0,6,6,3,6,12,10,10,D
962,Fulham,Everton,31,24,28,26,28,24,L,L,W,D,W,L,9,9,8,16,4,3,4,6,0,0,1,3,5,5,13,7,21,H
4756,Stoke,Everton,18,31,29,18,21,37,L,L,W,W,L,W,2,11,9,26,1,3,4,9,0,0,1,2,2,11,13,6,20,D
3849,Arsenal,Bolton,3,7,10,11,4,3,W,L,L,L,L,L,18,19,20,7,8,13,13,4,0,0,4,5,5,6,4,12,5,H
6623,Man City,Everton,45,23,9,19,41,24,L,W,W,D,D,L,14,15,12,19,4,7,5,3,0,0,13,11,6,14,1,8,17,H
3320,Burnley,Stoke,29,28,60,33,23,35,L,L,L,D,L,W,8,14,8,4,5,8,3,3,0,0,2,4,4,3,19,11,29,D
1815,West Ham,Portsmouth,44,20,44,49,42,21,L,L,D,W,L,L,13,9,12,11,6,5,5,6,0,0,5,6,8,10,19,16,30,A
3257,Blackburn,Wigan,21,24,39,46,21,22,L,D,D,L,W,L,8,21,13,20,3,11,8,14,0,0,3,4,6,3,14,12,22,H
3169,Aston Villa,Tottenham,20,23,12,17,21,22,W,L,D,W,L,L,19,13,10,7,13,10,8,5,0,0,8,14,4,2,6,8,13,D
4758,Swansea,Man City,24,54,25,21,21,41,D,L,L,W,W,W,17,8,23,20,3,1,4,6,0,0,8,7,12,7,10,2,20,A
785,Arsenal,Aston Villa,6,1,1,2,6,1,W,W,M,D,L,M,14,11,14,9,10,5,9,5,0,0,5,6,8,9,2,16,3,H
79,Tottenham,Derby,8,5,8,12,8,5,L,W,L,L,L,L,11,13,7,9,5,6,5,2,0,0,5,4,2,3,12,16,8,H
6287,Crystal Palace,Man City,18,61,32,12,18,58,L,D,W,W,W,W,16,13,22,14,2,5,6,5,0,0,5,3,8,4,14,3,21,D
4861,Arsenal,Swansea,53,40,34,46,62,29,L,W,L,L,L,D,12,7,21,15,5,3,7,4,1,0,1,2,12,4,4,10,31,D
6771,Cardiff,Chelsea,28,52,59,34,28,60,L,W,L,W,L,D,8,16,21,16,3,7,3,5,0,0,2,7,7,4,19,5,32,A
2305,Liverpool,Chelsea,3,5,2,3,4,6,D,W,M,W,W,M,18,17,15,19,8,7,7,11,0,0,5,2,11,5,3,2,3,D
4881,Newcastle,Man United,38,52,47,38,46,54,L,L,W,W,L,W,5,16,9,10,2,3,6,4,0,0,5,9,0,5,16,1,33,A
3974,Sunderland,Everton,21,18,21,20,17,21,W,L,W,D,W,D,17,8,9,13,13,4,3,6,0,0,11,0,6,9,10,7,18,D
6680,Arsenal,Chelsea,46,40,32,17,41,47,L,W,L,W,D,W,11,16,10,17,2,9,6,6,0,0,3,8,8,7,6,5,23,H
416,Liverpool,Newcastle,6,6,2,3,7,4,D,W,W,D,L,W,5,16,11,9,3,9,6,6,0,0,2,5,3,8,2,4,4,D
6298,Arsenal,Chelsea,38,39,26,14,38,45,D,W,D,W,W,D,14,16,21,25,4,9,12,8,0,0,6,4,7,13,5,1,22,D
2877,Portsmouth,Aston Villa,22,35,34,23,24,41,D,L,L,W,W,D,11,4,21,7,4,3,13,3,0,0,4,2,10,5,8,6,22,A
2962,Fulham,Liverpool,30,54,26,21,40,64,W,W,L,W,W,W,15,14,14,9,6,8,7,6,0,0,3,5,4,3,17,4,31,A
3101,Stoke,Man United,5,15,7,6,8,15,D,L,W,W,W,W,10,4,21,17,6,2,11,13,0,0,6,4,11,9,11,1,7,A
5674,Swansea,Liverpool,34,59,49,48,40,55,L,L,W,L,D,W,9,11,11,13,1,1,3,4,0,1,6,7,7,5,8,6,36,H
4140,Newcastle,Stoke,53,32,42,48,62,42,W,W,W,L,D,W,16,8,7,7,11,4,2,3,0,0,4,6,5,4,13,14,35,H
2055,Newcastle,Reading,12,17,17,18,16,25,W,W,D,W,W,W,14,13,10,8,8,10,3,2,0,0,1,10,5,3,7,19,16,H
118,Tottenham,Arsenal,18,24,15,13,17,19,W,W,W,L,D,D,10,9,26,14,4,3,12,5,0,0,8,2,4,6,12,2,12,D
6460,Man United,Leicester,0,0,0,0,0,0,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,1,H
6274,Man United,Burnley,41,16,14,15,42,32,D,W,W,L,D,W,19,8,5,11,6,3,2,6,0,0,6,3,4,2,6,16,20,D
5577,Arsenal,Leicester,39,47,22,27,48,53,W,D,L,W,W,W,10,21,14,13,5,11,7,6,0,0,3,13,4,3,3,14,26,H
997,Chelsea,Charlton,43,32,19,25,49,37,W,D,W,L,W,W,17,16,14,7,9,9,7,4,0,0,6,6,5,5,4,11,24,H
5953,Hull,Burnley,22,27,49,36,20,30,L,W,D,D,L,W,9,7,6,11,4,4,4,7,1,0,8,1,1,6,19,19,26,D
1472,Norwich,Newcastle,35,43,66,53,24,38,D,W,L,L,L,L,12,7,11,24,8,5,5,10,0,0,3,3,4,6,19,6,34,H
6692,Huddersfield,Everton,13,34,40,33,11,30,L,D,L,L,W,L,5,14,7,15,2,2,2,3,0,0,1,10,6,5,16,8,24,A
2702,Sunderland,Middlesbrough,3,6,6,6,4,6,D,L,W,L,W,L,6,10,7,21,5,4,3,12,0,0,6,3,2,4,15,13,5,H
6195,Liverpool,Southampton,21,9,17,11,19,13,W,W,L,L,D,W,15,16,13,6,7,8,3,1,0,0,3,9,9,7,4,9,12,H
4523,Arsenal,Man United,65,78,35,35,63,84,W,D,W,W,D,W,10,10,10,15,7,6,5,9,1,0,3,8,5,5,3,2,35,D
569,Birmingham,Everton,17,22,21,21,23,32,W,L,D,W,L,L,2,6,12,14,1,2,7,6,1,0,1,9,5,9,19,15,19,D
577,West Brom,Arsenal,15,39,29,20,16,39,D,L,L,W,D,L,9,13,26,6,5,3,14,4,0,0,8,2,13,6,19,1,20,A
3155,Wigan,Fulham,12,14,21,14,13,15,L,W,D,D,W,D,8,13,7,10,3,8,3,6,0,0,4,4,6,2,12,7,12,D
5719,West Ham,Bournemouth,1,1,2,3,0,0,L,M,M,L,M,M,7,0,9,0,3,0,3,0,0,0,1,0,4,0,7,16,2,H
6301,Crystal Palace,Burnley,20,19,33,19,22,34,W,D,L,L,D,D,11,10,13,11,4,1,4,4,0,0,7,7,3,4,14,16,23,H
6190,Arsenal,Tottenham,20,20,16,7,19,23,L,W,W,W,L,W,6,17,12,13,3,5,2,4,0,0,5,5,10,3,5,2,12,H
1132,Blackburn,Birmingham,50,42,58,47,43,49,L,W,W,L,D,D,14,12,3,3,2,8,2,3,0,1,7,5,3,3,6,14,38,D
2859,Aston Villa,West Brom,32,14,22,35,35,15,D,W,W,L,W,L,13,10,6,12,9,4,2,7,0,0,7,6,5,5,6,19,20,H
4583,Man City,Hull,6,1,3,2,3,3,L,W,M,W,L,M,16,20,6,7,5,11,1,2,0,1,8,8,1,1,2,19,3,H
3054,Hull,Tottenham,1,2,2,1,0,3,L,M,M,W,M,M,7,0,17,0,3,0,11,0,0,0,4,0,6,0,17,8,2,A
6329,Tottenham,Man United,47,49,22,16,45,53,D,W,D,W,W,W,17,20,12,20,2,10,2,9,0,0,9,3,4,6,2,6,25,H
667,Man United,Leeds,45,34,26,37,55,34,D,D,W,L,W,L,7,15,12,10,3,8,5,7,0,0,5,10,1,9,3,5,29,H
5924,Middlesbrough,West Brom,18,30,25,28,20,32,L,D,D,W,L,W,11,5,14,3,2,1,5,0,0,0,7,1,1,0,19,14,23,D
6836,Man United,Cardiff,65,32,52,69,66,31,D,D,L,L,L,L,23,7,18,13,7,5,8,8,0,0,7,6,10,3,2,19,38,A
1563,West Brom,Wigan,4,3,8,3,4,6,L,L,W,W,W,L,15,0,9,11,8,0,4,5,0,0,3,1,0,0,17,19,5,A
1353,West Brom,Newcastle,17,33,43,39,12,25,D,D,L,W,L,D,11,0,8,9,7,0,4,5,0,0,3,0,6,4,19,6,22,D
5314,Everton,Tottenham,48,57,49,53,47,61,W,L,L,W,L,L,21,22,10,9,5,4,3,3,0,0,8,15,6,8,5,6,38,A
1088,Blackburn,Leicester,43,41,54,57,31,28,L,L,L,L,L,D,9,9,10,14,7,2,7,9,0,0,6,4,15,11,6,19,33,H
5264,Stoke,Southampton,36,44,40,22,43,56,D,L,L,W,L,W,18,7,9,11,2,2,4,2,0,0,10,0,2,10,9,8,33,H
1699,Everton,Liverpool,9,25,23,9,17,37,L,L,D,W,W,W,13,12,12,21,10,3,5,11,0,0,10,4,2,7,4,5,18,A
1364,Man City,Crystal Palace,27,23,23,34,28,18,D,W,D,W,L,D,5,15,14,7,4,8,9,3,0,0,5,9,7,2,16,19,23,H
3254,Tottenham,Fulham,42,26,22,24,38,27,D,W,D,L,L,L,25,21,14,14,18,9,9,7,0,0,14,9,6,10,8,7,22,H
5457,Norwich,Arsenal,16,23,24,11,12,26,L,W,L,L,D,W,4,9,11,10,2,5,3,4,0,0,5,5,5,7,19,3,14,D
1865,Wigan,Aston Villa,39,37,43,47,48,39,L,D,D,W,D,L,13,13,9,6,5,6,7,3,0,0,1,13,5,6,19,10,35,H
4358,Swansea,Man United,26,43,22,24,23,42,L,L,W,W,W,W,4,21,15,8,0,10,6,3,0,0,3,6,9,2,11,2,18,D
4109,Swansea,Newcastle,34,44,36,42,39,50,L,W,W,W,W,L,10,10,10,15,3,7,7,10,0,0,3,2,4,4,19,13,31,A
358,Aston Villa,Southampton,39,42,43,50,43,42,L,L,D,D,W,L,10,12,10,10,5,9,6,5,0,0,7,8,5,5,8,10,36,H
6227,West Brom,Crystal Palace,12,8,21,25,12,9,D,D,L,D,W,D,8,5,10,10,4,2,4,5,0,0,1,0,5,5,10,14,15,D
656,Birmingham,Liverpool,23,38,40,26,26,43,L,L,L,D,W,D,7,5,17,11,6,3,10,5,0,0,7,3,14,8,19,2,28,H
4525,Reading,QPR,37,29,65,56,24,24,L,D,L,L,L,D,14,7,25,8,6,5,11,5,0,0,8,4,5,5,19,17,35,D
5192,Crystal Palace,Arsenal,27,47,35,28,27,45,D,W,L,W,L,W,7,14,17,7,3,2,7,3,0,0,5,6,6,3,11,4,26,A
3456,West Ham,Chelsea,1,14,9,0,0,9,L,L,L,W,W,W,7,17,15,10,2,10,6,8,0,0,3,8,6,0,17,1,4,A
947,Southampton,Arsenal,18,34,14,12,26,42,L,W,W,W,D,W,6,12,15,9,2,7,10,4,0,0,5,8,14,1,8,2,19,A
6751,Huddersfield,Bournemouth,15,39,51,54,14,34,L,W,L,L,L,D,6,15,0,13,4,3,0,5,0,0,3,3,0,4,16,11,30,A
5838,Everton,Man United,16,18,15,15,19,20,L,D,L,D,D,W,13,14,17,12,1,6,8,5,0,0,2,10,8,10,11,4,14,D
2095,Tottenham,Aston Villa,23,21,25,21,28,25,L,W,W,L,L,D,17,11,11,15,6,7,3,9,0,0,5,3,6,8,5,16,20,H
5065,Swansea,Crystal Palace,16,17,13,21,18,12,L,W,D,W,L,L,8,11,15,6,3,5,5,1,0,0,3,6,4,4,12,11,13,D
325,Sunderland,Leicester,24,23,41,56,35,22,L,D,L,W,L,D,13,10,9,11,5,7,6,5,0,0,4,3,6,8,7,13,33,H
5791,Man United,Burnley,13,8,12,13,14,10,L,D,D,W,L,L,16,7,9,6,5,1,3,1,0,0,7,1,2,4,4,19,10,D
5477,Liverpool,West Brom,18,14,17,19,23,19,L,W,W,D,D,W,10,10,11,7,1,2,4,3,0,0,7,8,3,2,6,13,16,D
368,Liverpool,Blackburn,58,49,27,47,74,43,L,W,W,W,D,W,11,13,14,12,7,5,6,5,0,0,8,9,5,6,3,19,37,H
3170,Blackburn,Stoke,16,13,28,15,16,19,L,W,W,W,L,D,7,15,9,7,3,11,3,4,0,0,3,7,4,2,14,11,14,D
3189,Birmingham,West Ham,12,24,14,26,18,14,W,W,D,W,D,L,13,3,9,16,7,2,5,10,0,0,5,0,1,3,19,9,15,H
3920,Bolton,Everton,19,15,29,16,9,16,L,W,L,W,W,L,8,20,17,13,6,16,14,9,0,0,5,12,4,9,12,7,13,A
4336,Man City,Man United,28,37,11,21,33,36,D,W,D,W,W,W,9,15,10,23,6,6,5,13,0,0,5,6,1,5,1,2,16,A
5622,Tottenham,Bournemouth,53,38,24,47,58,38,W,D,L,W,W,W,19,26,12,16,8,11,4,5,0,0,8,9,5,4,5,19,31,H
794,Tottenham,Fulham,2,7,2,5,4,6,D,W,L,W,L,W,9,20,9,23,4,4,5,15,0,0,5,6,4,10,10,13,4,A
6676,West Ham,Arsenal,29,46,32,31,28,41,D,L,W,W,L,D,13,11,16,8,6,4,9,2,0,0,1,5,8,3,13,6,22,H
231,Charlton,Derby,29,17,30,41,29,19,L,L,W,L,L,L,9,9,13,3,5,6,5,1,0,0,3,2,3,1,9,16,24,H
4399,Liverpool,Norwich,34,24,26,34,31,25,W,W,L,L,L,L,27,16,9,13,16,11,3,8,0,0,9,9,3,4,9,10,22,H
2258,Aston Villa,Sheffield United,36,30,39,50,43,35,D,W,D,D,L,W,17,9,15,10,8,7,10,3,0,0,15,4,3,1,16,19,36,H
428,Bolton,Liverpool,4,8,6,4,6,8,W,W,L,D,D,W,10,13,22,5,8,6,11,3,0,0,6,4,12,2,16,2,5,A
2506,Man City,West Ham,29,28,23,21,39,33,L,W,D,D,W,L,5,12,11,12,1,7,5,9,0,0,4,7,10,8,14,15,23,D
5040,Burnley,Hull,5,13,19,14,4,11,L,L,L,L,D,D,6,14,8,6,2,3,1,3,0,0,1,5,7,1,19,16,11,H
6463,Huddersfield,Chelsea,0,0,0,0,0,0,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,1,A
4269,Fulham,Everton,16,15,11,9,13,15,W,D,L,D,D,W,17,14,10,16,8,5,4,11,0,1,6,8,4,6,8,7,9,D
1112,Man City,Newcastle,48,47,51,35,35,53,D,L,D,L,W,D,11,15,7,21,5,7,6,12,0,0,2,6,5,7,9,3,36,H
6834,Leicester,Chelsea,51,63,48,39,51,71,L,W,D,W,D,D,7,24,19,16,2,12,9,3,0,0,0,8,6,6,9,5,38,D
4667,Sunderland,Man City,7,28,22,11,4,19,L,W,L,W,L,W,9,8,27,15,1,4,9,6,2,0,2,5,10,6,17,2,11,H
1459,Birmingham,Portsmouth,34,33,38,49,36,31,D,W,L,L,D,L,14,10,8,13,7,4,4,6,0,0,3,2,5,4,10,14,32,D
3028,West Brom,Liverpool,36,72,65,26,31,80,W,L,W,W,W,W,12,10,16,25,10,7,9,11,0,0,5,7,4,7,19,4,37,A
1458,Tottenham,Newcastle,38,41,35,49,43,38,D,W,L,L,L,D,9,12,6,20,5,9,3,12,0,0,3,6,7,8,13,6,32,H
5303,Sunderland,Leicester,30,41,50,54,37,37,D,W,W,W,W,L,13,10,10,19,3,3,3,7,0,0,8,1,4,10,15,19,37,D
789,Bolton,Charlton,2,4,6,3,1,3,D,L,M,W,L,M,16,15,8,10,10,5,6,5,0,1,9,4,2,4,17,11,3,D
372,Chelsea,Aston Villa,65,43,35,46,64,47,W,L,D,W,D,L,14,7,8,16,8,2,5,11,0,0,6,12,7,4,6,8,38,A
1601,West Brom,Arsenal,7,11,15,6,5,13,L,L,D,L,W,D,6,18,14,16,3,10,10,13,0,0,1,6,6,11,17,2,9,H
2375,West Ham,Sunderland,12,10,9,16,13,8,W,L,L,L,L,D,12,8,11,14,7,3,7,12,0,1,6,4,2,10,15,19,10,H
2784,Newcastle,Wigan,15,13,20,16,12,12,L,W,W,D,W,L,13,11,22,12,7,7,14,8,0,0,1,2,6,6,12,14,13,D
5552,Leicester,Liverpool,42,30,26,32,47,34,W,D,W,W,L,D,15,12,13,19,5,5,7,4,0,0,8,4,3,5,14,6,24,H
5123,Newcastle,Everton,19,27,26,28,23,21,L,L,L,L,L,W,8,15,16,13,4,7,5,4,0,0,5,7,9,6,10,5,19,H
1259,Birmingham,Everton,7,14,10,10,9,23,L,D,D,D,W,W,16,8,20,13,11,2,8,9,0,0,11,4,8,4,10,17,12,A
2805,Man City,Man United,29,26,22,10,17,28,W,D,L,W,D,W,12,12,12,12,8,8,8,7,0,1,3,6,8,6,9,1,15,A
3841,Bolton,Norwich,7,3,11,6,3,2,L,L,L,L,L,D,20,7,17,9,13,4,5,6,0,0,5,6,1,6,12,19,5,A
2165,Arsenal,Wigan,48,27,22,43,49,25,W,D,W,L,W,L,10,11,8,15,3,4,2,8,0,0,10,6,1,6,4,10,27,H
52,Liverpool,Tottenham,8,6,7,6,9,5,W,W,L,L,W,L,14,13,11,18,6,9,4,6,0,0,2,2,6,3,3,12,6,H
4068,Tottenham,Man United,51,63,30,26,53,61,L,W,D,W,W,D,8,18,11,11,4,9,9,6,1,0,5,4,4,4,5,1,27,A
5756,Sunderland,Crystal Palace,3,7,9,5,1,7,L,L,D,W,W,D,6,11,14,12,2,2,8,4,1,0,1,5,10,6,17,15,6,A
643,Liverpool,Middlesbrough,37,30,25,30,42,31,W,D,W,D,L,L,11,16,2,13,5,12,2,8,0,0,8,9,3,6,2,11,27,D
2791,Liverpool,Fulham,21,12,8,11,32,18,W,W,L,D,W,W,15,11,6,16,6,10,6,14,0,0,3,3,3,10,4,17,14,D
3353,Wolves,Everton,28,50,50,42,31,48,W,D,W,W,W,D,5,7,10,18,4,4,7,11,0,0,5,5,4,6,19,5,32,D
4260,Aston Villa,Norwich,6,6,13,17,5,6,L,L,D,W,L,L,9,8,7,7,4,5,3,4,0,0,4,0,2,2,16,10,9,D
5608,Bournemouth,Swansea,32,27,44,37,32,30,W,D,L,W,L,L,9,11,11,10,4,3,2,4,0,0,10,5,3,7,19,8,29,H
4732,Chelsea,Swansea,32,23,18,23,34,20,D,W,L,L,D,D,13,16,13,10,4,7,3,2,0,0,6,3,4,5,3,10,18,H
6139,Arsenal,West Brom,7,4,8,4,7,8,D,W,L,D,L,D,11,17,6,12,2,9,1,3,0,0,1,10,2,6,5,10,6,H
2616,Tottenham,Middlesbrough,62,30,56,47,40,35,D,L,W,D,L,W,11,18,12,7,8,10,7,3,0,0,1,6,4,3,5,12,34,D
5896,Bournemouth,Arsenal,26,41,31,19,24,40,W,L,L,W,W,L,11,7,22,26,6,3,7,11,0,0,3,5,8,6,16,2,20,D
2763,Portsmouth,Wigan,10,11,15,15,14,8,L,D,D,L,L,L,4,21,5,17,1,12,2,5,0,0,1,8,2,9,8,14,11,A
4031,Man City,Fulham,60,29,19,32,54,27,L,W,W,D,W,L,17,13,13,10,11,7,6,7,0,0,9,9,8,2,2,8,24,H
288,Leicester,Charlton,18,32,50,33,17,37,L,L,L,W,D,L,6,6,9,9,1,3,6,2,0,0,6,8,5,2,13,9,29,D
1042,Chelsea,Fulham,50,41,21,38,61,39,W,W,L,W,D,L,12,9,19,7,8,4,10,3,0,0,6,1,4,4,4,13,29,H
1171,Everton,West Brom,6,3,6,3,6,3,W,W,L,D,D,D,16,14,4,14,10,7,2,5,0,0,7,6,4,12,17,19,4,H
2524,Reading,Bolton,30,24,50,34,22,22,L,L,L,D,D,L,7,9,13,7,2,6,4,5,0,0,9,8,4,6,8,7,25,A
6381,Huddersfield,Crystal Palace,25,28,50,48,31,27,D,L,W,L,L,L,30,3,9,10,4,3,2,4,0,0,12,1,3,3,19,14,31,A
304,Leicester,Leeds,21,42,53,30,19,51,D,D,L,W,W,D,6,10,18,11,4,5,8,7,0,0,2,11,4,7,13,4,31,A
3778,Fulham,Liverpool,43,54,36,39,45,55,W,W,D,W,W,D,9,18,9,17,6,7,5,13,0,0,4,10,3,5,12,7,36,A
866,Tottenham,Bolton,10,8,13,19,12,8,D,W,W,L,L,D,12,7,16,12,8,4,7,8,0,0,8,1,7,4,10,17,11,A
3068,Chelsea,Burnley,5,1,2,2,6,3,W,W,M,W,L,M,20,26,8,9,9,12,2,5,0,0,14,12,1,6,3,19,3,H
4480,Sunderland,Man United,33,70,42,31,31,77,D,L,D,W,W,W,16,7,10,17,8,3,6,8,0,0,5,5,6,5,14,2,31,A
6814,Southampton,Bournemouth,41,49,58,62,37,41,D,L,W,L,W,L,8,15,15,14,4,3,5,7,0,0,4,11,3,1,17,11,36,D
3424,Sunderland,Birmingham,0,0,0,0,0,0,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,1,D
6241,Crystal Palace,Watford,10,25,27,27,11,22,D,D,D,L,D,L,24,10,11,6,8,2,2,2,0,1,6,7,5,7,14,17,17,H
6367,Brighton,Arsenal,26,51,37,39,31,45,W,D,W,L,L,W,16,14,10,6,5,6,5,1,0,0,3,4,6,2,19,5,29,H
4226,Man City,Arsenal,9,8,6,1,8,8,D,W,D,W,W,D,15,19,20,11,11,12,12,7,0,0,5,8,8,2,1,3,5,D
441,Middlesbrough,Birmingham,7,8,5,7,8,8,L,W,L,W,D,W,10,9,12,6,5,7,5,3,0,0,4,6,9,2,11,19,7,H
3446,Aston Villa,Everton,3,1,6,2,3,1,L,W,M,D,L,M,3,23,14,17,1,11,6,12,0,0,2,16,3,3,6,8,3,H
1868,Bolton,Charlton,43,38,38,44,49,44,D,L,L,L,D,D,8,7,10,9,3,4,7,4,0,0,6,4,12,6,6,11,35,H
5493,Liverpool,Leicester,20,37,22,24,24,38,L,D,L,W,W,W,12,28,10,9,4,8,5,5,0,0,9,4,2,1,6,14,18,H
5302,Southampton,Aston Villa,48,30,30,50,57,38,L,L,D,W,W,L,10,11,15,11,3,2,5,4,0,0,8,1,2,5,8,14,37,H
4344,QPR,Fulham,13,27,29,27,7,20,D,D,D,W,L,D,8,17,16,8,4,12,7,2,0,0,4,11,5,2,17,8,17,H
2803,Wigan,West Brom,16,10,18,25,16,11,W,D,D,L,L,L,12,12,8,13,6,7,2,3,0,0,3,10,1,3,14,19,15,H
3202,Sunderland,Aston Villa,22,26,22,14,21,29,D,L,L,W,W,D,16,8,8,13,9,5,5,6,0,0,9,8,4,9,16,6,17,A
4363,Norwich,Chelsea,20,37,27,17,25,35,L,W,W,W,W,W,10,16,20,24,4,10,11,18,0,0,5,7,7,8,10,6,19,A
1107,Tottenham,Arsenal,42,69,54,24,38,82,L,D,L,D,W,D,4,15,9,15,0,10,7,8,0,0,5,4,4,3,10,2,35,D
5327,Newcastle,Southampton,0,0,0,0,0,0,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,1,D
2849,Blackburn,Man City,20,31,34,27,16,18,W,L,L,L,L,D,10,11,11,7,9,4,7,4,0,0,3,9,7,5,7,9,19,D
