,Date,H_name,A_name,H_GoalsScored,A_GoalsScored,H_GoalsConceded,A_GoalsConceded,H_Points,A_Points,H_Results1,H_Results2,H_Results3,A_Results1,A_Results2,A_Results3,H_Shots1,H_Shots2,A_Shots1,A_Shots2,H_ShotsTarget1,H_ShotsTarget2,A_ShotsTarget1,A_ShotsTarget2,H_Red1,A_Red1,H_Corners1,H_Corners2,A_Corners1,A_Corners2,H_LastPosition,A_LastPosition,MatchDay,Result
37,2001-09-15,Derby,Leicester,3,1,4,10,4,1,D,L,W,D,L,L,9,2,12,2,2,2,7,0,0,1,3,2,6,0,16,13,4,A
38,2001-09-15,Everton,Liverpool,5,4,2,6,7,3,W,D,W,L,L,W,7,18,12,18,5,11,7,7,0,1,3,8,7,6,15,3,4,A
39,2001-09-15,Fulham,Arsenal,4,9,3,2,4,6,D,W,L,W,L,W,10,13,20,14,1,5,11,5,0,1,11,8,9,10,19,2,4,A
40,2001-09-15,Middlesbrough,West Ham,1,1,11,4,0,2,L,L,L,L,D,D,8,5,5,10,4,1,1,4,1,1,3,6,1,4,14,17,5,H
41,2001-09-15,Newcastle,Man United,10,10,6,6,8,8,W,W,D,W,D,D,15,8,18,13,8,5,9,7,0,0,8,3,6,5,11,1,5,H
42,2001-09-16,Aston Villa,Sunderland,4,3,2,3,6,7,D,W,D,W,D,L,8,10,11,6,3,7,4,3,0,0,10,0,4,4,8,7,5,D
43,2001-09-16,Charlton,Leeds,3,4,5,1,4,8,L,D,W,D,D,W,9,7,11,10,4,4,6,4,1,0,8,5,7,8,9,4,5,A
44,2001-09-16,Ipswich,Blackburn,4,5,4,6,4,4,D,L,W,L,W,D,13,17,10,12,9,11,4,7,1,0,3,6,10,3,5,19,5,D
45,2001-09-16,Tottenham,Chelsea,4,7,3,4,5,8,W,L,D,W,D,W,18,12,6,10,6,5,4,5,0,1,3,6,6,5,12,6,5,A
46,2001-09-17,Leicester,Middlesbrough,4,1,12,11,4,0,W,D,L,L,L,L,12,12,8,5,6,7,4,1,0,1,8,6,3,6,13,14,5,A
47,2001-09-19,Blackburn,Bolton,5,8,6,1,4,10,L,W,D,D,W,W,10,12,8,11,4,7,4,4,0,0,10,3,5,4,19,19,5,D
48,2001-09-19,Sunderland,Tottenham,3,4,3,3,7,5,W,D,L,W,L,D,11,6,18,12,4,3,6,5,0,0,4,4,3,6,7,12,5,A
49,2001-09-22,Arsenal,Bolton,10,8,3,1,7,10,D,W,L,D,W,W,14,20,8,11,11,11,4,4,0,0,6,9,5,4,2,19,5,D
50,2001-09-22,Blackburn,Everton,6,7,7,9,5,7,D,L,W,L,L,W,6,10,11,5,4,4,5,1,0,0,13,10,4,2,19,15,6,H
51,2001-09-22,Leicester,Fulham,5,6,14,7,4,5,L,W,D,L,D,D,10,12,6,16,5,6,3,5,0,0,4,8,4,6,13,19,6,D
52,2001-09-22,Liverpool,Tottenham,8,6,7,6,9,5,W,W,L,L,W,L,14,13,11,18,6,9,4,6,0,0,2,2,6,3,3,12,6,H
53,2001-09-22,Man United,Ipswich,13,5,10,5,8,5,L,W,D,D,D,L,10,18,20,13,7,9,10,9,1,0,5,6,6,3,1,5,6,H
54,2001-09-22,Sunderland,Charlton,3,5,3,7,8,5,D,W,D,D,L,D,4,11,13,9,2,4,5,4,0,0,3,4,8,8,7,9,6,D
55,2001-09-23,Chelsea,Middlesbrough,9,3,6,11,9,3,D,W,D,W,L,L,8,6,13,8,3,4,5,4,0,0,8,6,8,3,6,14,6,D
